address,balance
20e526833d2ab5bd20de64cc00f2c2c7a07060bf,0x1a784379d99db42000000
20bd78ead9c9b697a601c6b72faaa73ecf9164c8,0x1a784379d99db42000000
20e914796f70facdd59e43e83312b977251c41e3,0x1a784379d99db42000000
20d20b8026b8f02540246f58120ddaaf35aecd9b,0x1a784379d99db42000000
